Название вебстудии,Выполнено проектов,Рейтинг,Год основания,Количество сотрудников,Веб сайт,Стоимость
«WebFormula»,219,10.04,2008,21-30,webformula.pro,50 000 — 800 000
Iarga,81,3.53,2008,8-15,http://iarga.ru/,150 000 — 580 000
Voodoo,101,3.14,2000,8-15,www.voodoo.ru,70 000 — 500 000
«Very-good»,67,3.01,2008,16-20,http://very-good.ru,60 000 — 800 000
Rutorika,30,2.36,2011,21-30,http://rutorika.ru,250 000 — 1 500 000
Майрон,64,2.20,2009,4-7,mairon-studio.ru,-
РуФокс,16,2.01,2004,16-20,http://web.rufox.ru/,60 000 — 2 500 000
"""Топ Медиа""",12,1.99,2001,31-40,http://www.топмедиа.рф/,-
Web112,53,1.63,2009,4-7,http://web112.biz/,100 000 — 5 000 000
BusinessProfi,71,1.61,2005,8-15,http://bizprofi.ru,25 000 — 1 900 000
"""Рашн Роботикс""",28,1.25,2009,21-30,http://rusrobots.ru/,100 000 — 1 500 000
Кватрокс,26,1.21,2005,4-7,www.quatrox.ru,10 999 — 49 999
"""Интернет-Имидж""",12,1.20,2000,8-15,www.internetimage.ru,30 000 — 700 000
OneRule,15,1.17,2015,4-7,http://onerule.ru/,50 000 — 500 000
"""Интернет Коммерсант""",38,1.09,2010,8-15,http://incomyug.ru/,30 000 — 500 000
Zeebra,19,1.07,2013,4-7,www.zeebra.ru,50 000 — 300 000
Малинка,49,1.02,2009,4-7,malinkastudio.com,68 000 — 990 000
New-webstudio,20,1.01,2014,4-7,new-webstudio.ru,20 000 — 200 000
Quartex Group,15,0.97,2003,4-7,http://www.quartex.ru,80 000 — 2 000 000
Southmedia,42,0.94,2008,16-20,http://southmedia.ru,65 000 — 1 000 000
Redham,47,0.93,2009,4-7,www.redhamsites.ru,30 000 — 90 000
XY STUDIO,62,0.89,2012,8-15,xystudio.ru,25 000 — 300 000
KubanTrend,43,0.88,2004,8-15,www.kubantrend.ru,-
Spider Group,14,0.87,2000,21-30,www.spider.ru,190 000 — 2 000 000
Doodah,22,0.86,2011,16-20,http://doodah.ru/,-
WoW DESIGN,16,0.77,2013,1-3,www.wow-design.ru,20 000 — 140 000
creativecult,56,0.62,2013,8-15,http://creativecult.ru,30 000 — 160 000
АЭЛИТА ДИЗАЙН,27,0.56,2006,8-15,aelitadesign.ru,30 000 — 1 000 000
celebro,30,0.53,2011,1-3,http://celebro.ru,25 000 — 500 000
ABP company,20,0.50,2007,8-15,http://abpc.ru,60 000 — 800 000
Viocom,23,0.49,2010,4-7,http://www.viocom.ru/,50 000 — 800 000
Airty,12,0.47,2013,4-7,www.airty.ru,50 000 — 1 000 000
"""Мастер Флеш""",37,0.46,2009,4-7,www.masterflash.ru,18 000 — 100 000
Русь-технология,17,0.45,2009,8-15,http://rus-technologia.ru/,30 000 — 160 000
